"","x"
"1","ADS"
"2","ALV"
"3","BAS"
"4","BAYN"
"5","BEI"
"6","BMW"
"7","CON"
"8","1COV"
"9","DAI"
"10","DBK"
"11","DB1"
"12","LHA"
"13","DPW"
"14","DTE"
"15","EOAN"
"16","FRE"
"17","FME"
"18","HEI"
"19","HEN3"
"20","IFX"
"21","LIN"
"22","MRK"
"23","MTX"
"24","MUV2"
"25","RWE"
"26","SAP"
"27","SIE"
"28","VOW3"
"29","VNA"
"30","WDI"
